Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
240,-0.1908,0.1069,-1.0992,0.27196245,0.06459570,0.96008949,15.99951,15.99951,15.11230
242,-0.1221,0.5954,-1.0534,0.22961499,0.06512283,0.97101240,15.99951,15.99951,15.11230
244,-0.1603,0.2672,-0.8092,0.17844309,0.05883483,0.98215065,15.99951,15.99951,15.11230
246,0.1603,0.2977,-0.5496,0.14084344,0.05597531,0.98842010,15.99951,15.99951,15.11230
248,0.4122,0.1756,-0.3969,0.11229097,0.07009952,0.99112739,15.99951,15.99951,15.11230
250,0.4962,0.1527,-0.3588,0.10071837,0.08171284,0.99147672,15.99951,15.99951,15.11230
252,0.5725,-0.0763,-0.1908,0.08718135,0.10936940,0.99007320,15.99951,15.99951,15.11230
254,0.2137,-0.1069,-0.0458,0.08585384,0.12599086,0.98833484,15.99951,15.99951,15.11230
256,-0.0916,0.2443,0.1069,0.06951698,0.11411913,0.99101428,15.99951,15.99951,15.11230
258,0.0229,0.6794,0.2443,0.03274019,0.09467592,0.99495449,15.99951,15.99951,15.11230
260,0.1298,0.5038,0.4351,0.01301767,0.08936610,0.99583396,15.99951,15.99951,15.11230
262,0.0382,0.0076,0.7710,0.00187337,0.07621618,0.99710245,15.99951,15.99951,15.11230
264,0.1527,-0.3206,0.8092,0.02521545,0.06182865,0.99768753,15.99951,15.99951,15.11230
266,-0.1069,0.2748,0.7252,0.03659928,0.04227575,0.99839591,15.99951,15.99951,15.11230
268,-0.1908,0.6183,0.7481,0.02513818,0.02556549,0.99927225,15.99951,15.99951,15.11230
270,-0.2137,0.2595,1.1527,0.00223198,-0.00966011,0.99993972,15.99951,15.99951,15.11230
272,-0.3969,0.1145,1.1298,0.00538871,-0.05698637,0.99836320,15.99951,15.99951,15.11230
274,-0.1756,0.0687,0.9695,0.01598521,-0.09471095,0.99534292,15.99951,15.99951,15.11230
276,-0.0763,0.1069,0.9084,0.02651140,-0.11753709,0.99270057,15.99951,15.99951,15.11230
278,-0.0305,0.2214,0.8855,0.02725313,-0.12556587,0.99162216,15.99951,15.99951,15.11230
280,-0.0916,0.3664,0.8397,0.02007726,-0.13915166,0.98998317,15.99951,15.99951,15.11230
282,-0.3664,0.1908,0.6870,0.01822910,-0.16222174,0.98655118,15.99951,15.99951,15.11230
284,-0.1374,0.1832,0.5954,0.02250320,-0.18118789,0.98308649,15.99951,15.99951,15.11230
286,-0.0229,0.1832,0.5802,0.02491916,-0.18248462,0.98287096,15.99951,15.99951,15.11230
288,0.0000,0.0763,0.4122,0.03306054,-0.17790026,0.98340368,15.99951,15.99951,15.11230
290,0.1374,0.0076,0.3588,0.04556550,-0.16327415,0.98551807,15.99951,15.99951,15.11230
292,0.0916,0.0305,0.4809,0.05443275,-0.14561094,0.98772687,15.99951,15.99951,15.11230
294,-0.0687,0.1908,0.2443,0.06254392,-0.13861236,0.98825206,15.99951,15.99951,15.11230
296,0.0000,0.1145,0.0992,0.06743718,-0.13476862,0.98850803,15.99951,15.99951,15.11230
298,0.1450,-0.0534,-0.0916,0.08455741,-0.11730970,0.98940792,15.99951,15.99951,15.11230
300,0.2748,-0.1374,-0.0534,0.10122028,-0.08807644,0.99095792,15.99951,15.99951,15.11230
302,0.3740,-0.1374,-0.0534,0.11895192,-0.05178010,0.99144725,15.99951,15.99951,15.11230
304,0.3969,-0.1298,-0.1450,0.12767064,-0.03076853,0.99131994,15.99951,15.99951,15.11230
306,0.3588,-0.2595,-0.2977,0.14563076,0.01543432,0.98909997,15.99951,15.99951,15.11230
308,0.1221,-0.4275,-0.5038,0.17116615,0.05729419,0.98350715,15.99951,15.99951,15.11230
310,-0.2824,-0.4351,-0.6870,0.19009902,0.07870816,0.97857246,15.99951,15.99951,15.11230
312,-0.4198,-0.3435,-0.7481,0.19659981,0.08285627,0.97690315,15.99951,15.99951,15.11230
314,-0.3053,-0.3282,-0.7176,0.19853502,0.08464307,0.97641763,15.99951,15.99951,15.11230
316,0.0153,-0.2137,-0.7863,0.19822759,0.10027925,0.97491760,15.99951,15.99951,15.11230
318,0.3282,-0.4656,-0.8779,0.20620758,0.13500101,0.96904201,15.99951,15.99951,15.11230
320,0.1908,-0.4656,-1.0534,0.22113094,0.17262429,0.95978393,15.99951,15.99951,15.11230
322,-0.3969,-0.2672,-1.2290,0.22312078,0.17716791,0.95845146,15.99951,15.99951,15.11230
324,-0.5725,-0.0916,-1.2443,0.21442079,0.16656780,0.96243276,15.99951,15.99951,15.11230
326,-0.6031,0.1450,-1.1832,0.18342073,0.13535604,0.97361459,15.99951,15.99951,15.11230
328,0.0687,0.2901,-1.0992,0.14541900,0.12336529,0.98160076,15.99951,15.99951,15.11230
330,0.4809,0.2214,-1.0000,0.10946619,0.14568877,0.98324899,15.99951,15.99951,15.11230
332,0.4504,0.1985,-0.9695,0.09262904,0.15862534,0.98296756,15.99951,15.99951,15.11230
334,0.3206,0.2519,-0.8550,0.05752651,0.17662559,0.98251762,15.99951,15.99951,15.11230
336,0.2214,0.2290,-0.5802,0.01714571,0.18629788,0.98224487,15.99951,15.99951,15.11230
338,0.2443,0.2519,-0.3130,-0.01972515,0.18866151,0.98172645,15.99951,15.99951,15.11230
340,0.4580,0.3206,-0.1145,-0.05355942,0.20099468,0.97811927,15.99951,15.99951,15.11230
342,0.4962,0.3435,-0.0229,-0.07039165,0.21018998,0.97511091,15.99951,15.99951,15.11230
344,0.2748,0.1221,0.4122,-0.09657435,0.22257394,0.97007551,15.99951,15.99951,15.11230
346,-0.2595,0.1603,0.6641,-0.10129538,0.20849714,0.97270441,15.99951,15.99951,15.11230
348,-0.6107,-0.0382,0.6412,-0.09334140,0.16616404,0.98163261,15.99951,15.99951,15.11230
350,-0.4656,-0.0305,0.6031,-0.08395453,0.14345576,0.98602685,15.99951,15.99951,15.11230
352,0.2824,0.4809,0.5496,-0.08806429,0.12608418,0.98803319,15.99951,15.99951,15.11230
354,0.1756,-0.3435,1.1527,-0.07598454,0.13007555,0.98857965,15.99951,15.99951,15.11230
356,-0.6718,0.0687,1.1450,-0.05184835,0.08532827,0.99493427,15.99951,15.99951,15.11230
358,-0.3664,0.1145,1.2290,-0.04088315,0.03210843,0.99857378,15.99951,15.99951,15.11230
360,-0.1603,0.0992,1.1908,-0.03302333,0.01654124,0.99924116,15.99951,15.99951,15.11230
362,-0.0229,-0.0229,0.9847,-0.01321722,-0.00152877,0.99982357,15.99951,15.99951,15.11230
364,-0.2366,0.0305,0.8015,0.00519984,-0.02566992,0.99962310,15.99951,15.99951,15.11230
366,-0.2443,0.0458,0.8779,0.01174396,-0.05474092,0.99833240,15.99951,15.99951,15.11230
368,-0.1756,0.1145,0.9542,0.01282584,-0.06679456,0.99762134,15.99951,15.99951,15.11230
370,-0.1298,0.1069,1.0229,0.01245634,-0.08470144,0.99623222,15.99951,15.99951,15.11230
372,-0.3282,0.0916,0.9237,0.01553038,-0.10952998,0.99383916,15.99951,15.99951,15.11230
374,-0.1374,-0.0382,0.7405,0.03048365,-0.12999281,0.99098100,15.99951,15.99951,15.11230
376,0.2443,-0.2595,0.5878,0.05963425,-0.12479201,0.99033536,15.99951,15.99951,15.11230
378,0.4046,-0.1756,0.5496,0.07561271,-0.11339607,0.99061622,15.99951,15.99951,15.11230
380,0.2443,0.3206,0.5267,0.08590531,-0.08907881,0.99222698,15.99951,15.99951,15.11230
382,-0.3817,0.1832,0.2901,0.09069291,-0.09243787,0.99150295,15.99951,15.99951,15.11230
