Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
792,107.2500,-0.5000,-20.5625,-0.05710411,0.29775714,0.02855205,15.99951,15.99951,15.11230
794,88.8125,-9.7500,-17.9375,0.14887857,0.28857967,0.13358281,15.99951,15.99951,15.11230
796,101.1875,-8.3750,-18.6250,0.24983046,0.38851186,0.00101972,15.99951,15.99951,15.11230
798,58.5625,32.8125,-7.9375,0.09177446,0.44051742,-0.17641090,15.99951,15.99951,15.11230
800,10.6250,43.1250,1.6875,0.02345347,0.57002139,-0.30795428,15.99951,15.99951,15.11230
802,-86.6875,35.2500,9.3750,0.11726737,0.36403868,0.13664197,15.99951,15.99951,15.11230
804,-85.5000,17.1250,-3.8750,0.14785885,0.10503077,1.05948519,15.99951,15.99951,15.11230
806,-15.6250,28.8125,-11.4375,0.06424212,0.01223659,1.22569894,15.99951,15.99951,15.11230
808,-23.1875,38.1250,-0.8125,-0.03874921,0.00305915,0.95037546,15.99951,15.99951,15.11230
810,-69.5625,45.3750,17.7500,0.03874921,0.02957177,1.22671854,15.99951,15.99951,15.11230
812,-45.3750,8.5000,1.1875,0.09585332,-0.03365063,1.51325883,15.99951,15.99951,15.11230
814,-7.7500,-4.2500,-8.5000,0.06118298,-0.01427603,1.35010421,15.99951,15.99951,15.11230
816,-20.1250,28.8125,8.0000,0.14683914,0.16621374,1.13596391,15.99951,15.99951,15.11230
818,-34.3750,42.5000,13.4375,0.01529574,0.11828708,1.12372732,15.99951,15.99951,15.11230
820,-31.5000,17.6250,7.7500,-0.02447319,0.12746452,1.31441426,15.99951,15.99951,15.11230
822,-20.2500,-2.3125,-2.4375,-0.16927289,0.03976893,1.28280294,15.99951,15.99951,15.11230
824,-21.9375,-34.1875,-9.7500,0.12440538,-0.01019716,1.30625653,15.99951,15.99951,15.11230
826,0.0625,-9.8125,-2.6875,0.08463644,-0.00713801,1.45819416,15.99951,15.99951,15.11230
828,19.1875,12.0625,5.5000,0.02141404,0.24167273,0.99728240,15.99951,15.99951,15.11230
830,-9.9375,1.2500,4.4375,-0.00713801,0.33956549,0.73113651,15.99951,15.99951,15.11230
832,-45.9375,-21.0625,-4.0000,-0.05200552,0.01019716,1.33684790,15.99951,15.99951,15.11230
834,3.5000,-26.1875,-4.2500,-0.05200552,-0.08667589,1.40414929,15.99951,15.99951,15.11230
836,49.6875,-10.9375,-1.8750,0.14377998,0.19884466,0.88817281,15.99951,15.99951,15.11230
838,12.3125,22.2500,11.9375,0.04180836,0.27022480,0.63834238,15.99951,15.99951,15.11230
840,-19.3125,31.3750,21.7500,0.14276026,0.26512620,0.75560970,15.99951,15.99951,15.11230
842,-26.3125,21.9375,11.3750,0.13562226,0.13664197,1.09823441,15.99951,15.99951,15.11230
844,7.8750,2.1250,-0.7500,-0.01529574,0.13154338,1.04418933,15.99951,15.99951,15.11230
846,12.5625,-2.2500,5.4375,0.00407886,0.19476579,0.91876430,15.99951,15.99951,15.11230
848,-6.8125,-2.5625,6.5000,0.16723345,0.24677131,0.83412790,15.99951,15.99951,15.11230
850,-18.5000,-2.6250,6.8125,0.17233204,0.22841641,0.92182340,15.99951,15.99951,15.11230
852,-15.0000,-4.0625,3.8750,0.08157730,0.10503077,1.11556947,15.99951,15.99951,15.11230
854,3.1875,-7.2500,7.3750,0.20190379,0.19068693,1.03093302,15.99951,15.99951,15.11230
856,1.9375,-5.8125,-1.6250,0.24269247,0.21414039,0.91978406,15.99951,15.99951,15.11230
858,-3.9375,6.2500,1.1250,0.11114907,0.20496294,0.93813886,15.99951,15.99951,15.11230
860,-12.0000,7.8125,2.6250,0.08463644,0.23861358,0.88511371,15.99951,15.99951,15.11230
862,-14.9375,4.3750,0.5000,0.09177446,0.21719956,0.93304023,15.99951,15.99951,15.11230
864,-18.0625,2.3750,-1.3125,0.15397714,0.09381389,1.08293855,15.99951,15.99951,15.11230
866,4.6250,-0.6875,-9.1875,0.09585332,0.11930679,1.10435259,15.99951,15.99951,15.11230
868,25.0625,-1.6250,-8.2500,0.01019716,0.21719956,0.81067438,15.99951,15.99951,15.11230
870,-2.3750,-2.8750,-3.9375,0.00815773,0.25288963,0.73725481,15.99951,15.99951,15.11230
872,-19.0000,-13.2500,-5.3750,0.08055759,0.24371218,0.86267986,15.99951,15.99951,15.11230
874,-14.9375,-14.6875,-7.5000,0.16621374,0.17233204,0.98912467,15.99951,15.99951,15.11230
876,-5.9375,-0.4375,-5.1250,0.17437147,0.16621374,1.01869642,15.99951,15.99951,15.11230
878,7.1250,5.3750,-8.1875,0.05812382,0.24065301,0.86777849,15.99951,15.99951,15.11230
880,-2.0000,-0.7500,-6.6875,-0.00203943,0.22025871,0.82291097,15.99951,15.99951,15.11230
882,-12.8125,-1.8125,-3.7500,0.05812382,0.21210095,0.85860099,15.99951,15.99951,15.11230
884,-18.3750,0.6875,-3.1875,0.07647871,0.10707019,1.08701742,15.99951,15.99951,15.11230
886,5.1250,3.1875,-2.1250,0.13868140,0.22025871,0.96975011,15.99951,15.99951,15.11230
888,8.5000,-5.0625,-11.8125,0.09381389,0.26512620,0.78722090,15.99951,15.99951,15.11230
890,-13.0000,-4.0625,-8.6250,0.09177446,0.21108124,0.89735021,15.99951,15.99951,15.11230
892,-17.3750,-3.5625,-6.4375,0.16519402,0.14785885,0.99218378,15.99951,15.99951,15.11230
894,-14.4375,4.3125,-6.3125,0.10197162,0.12236596,1.09925401,15.99951,15.99951,15.11230
896,10.3750,7.6875,-8.5625,-0.02141404,0.19986437,0.95037546,15.99951,15.99951,15.11230
898,6.4375,5.7500,-3.0000,0.03569006,0.22535727,0.83310813,15.99951,15.99951,15.11230
900,-19.4375,5.2500,-0.4375,0.16315459,0.21516010,0.96159238,15.99951,15.99951,15.11230
902,-17.1875,0.8125,-5.0625,0.14276026,0.16723345,1.03297257,15.99951,15.99951,15.11230
904,1.0625,-2.5000,-11.0000,0.07138013,0.21719956,0.95751361,15.99951,15.99951,15.11230
906,7.6875,-12.0000,-16.8125,-0.01529574,0.18558835,0.93304023,15.99951,15.99951,15.11230
908,2.0000,-10.3125,-11.6875,-0.01427603,0.18660806,0.91366567,15.99951,15.99951,15.11230
910,-10.7500,-4.1250,-1.5625,0.10095191,0.15499686,0.96567125,15.99951,15.99951,15.11230
912,-3.8125,-2.6250,-9.7500,0.18966721,0.14785885,1.00340080,15.99951,15.99951,15.11230
914,4.8750,0.6250,-11.0625,0.05812382,0.14072083,1.03807115,15.99951,15.99951,15.11230
916,12.3125,-1.0625,-8.1250,0.00000000,0.22127842,0.87287712,15.99951,15.99951,15.11230
918,-1.0000,-4.7500,-1.8125,-0.01427603,0.23555443,0.83004903,15.99951,15.99951,15.11230
920,-6.8125,-7.2500,-1.2500,0.13664197,0.22127842,0.88307418,15.99951,15.99951,15.11230
922,-11.5000,-5.0625,-6.6250,0.14479969,0.16111516,0.99218378,15.99951,15.99951,15.11230
924,0.6875,-5.5000,-9.2500,0.06934070,0.13562226,1.02073597,15.99951,15.99951,15.11230
926,7.8125,-2.2500,-5.7500,-0.01427603,0.14683914,0.94017829,15.99951,15.99951,15.11230
928,2.1250,-0.6250,0.2500,0.01019716,0.17539118,0.90856714,15.99951,15.99951,15.11230
930,-1.8750,-3.5625,-1.1250,0.09993219,0.20598266,0.88817281,15.99951,15.99951,15.11230
932,-3.8750,-4.5000,-1.8125,0.10095191,0.14581941,0.97076988,15.99951,15.99951,15.11230
934,0.6875,0.9375,-3.1250,0.20700237,0.21414039,0.91264600,15.99951,15.99951,15.11230
936,-0.0625,4.6875,-5.9375,0.09585332,0.16621374,0.92692203,15.99951,15.99951,15.11230
938,-3.1875,7.6250,-0.6875,0.03874921,0.15601657,0.95955295,15.99951,15.99951,15.11230
940,0.3750,4.1250,1.6875,0.09177446,0.19476579,0.90856714,15.99951,15.99951,15.11230
942,0.8125,-10.0000,-7.6250,0.03365063,0.13256310,0.96465148,15.99951,15.99951,15.11230
944,1.5625,-8.9375,-2.3750,0.11420822,0.14989829,0.97382898,15.99951,15.99951,15.11230
946,3.2500,-4.1875,-2.0625,0.12848423,0.17233204,0.92896137,15.99951,15.99951,15.11230
948,-2.9375,8.0625,3.5625,0.12644481,0.16825317,0.93100090,15.99951,15.99951,15.11230
